event number,district,time received,shift,time dispatched,time arrived,callcode,call code description,call type,priority,unit id,is primary,address,city,latitude,longitude,geo count,geo error
16-000002,E,1/1/16 0:00,1,1/1/16 0:02,1/1/16 0:15,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,E501,TRUE,301 16TH ST;  ,JERSEY CITY,40.73345947,-74.04602814,1,S5HPNTSCZA
16-000012,W,1/1/16 0:10,1,1/1/16 0:12,1/1/16 0:23,C29.00,BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,W201,TRUE,107 OAK ST; BA  ,JERSEY CITY,40.71468735,-74.07886505,1,S5HPNTSCZA
16-000018,W,1/1/16 0:15,1,1/1/16 0:16,1/1/01 0:00,E14.00,STREET FIGHT ( NO WEAPONS ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,3,W401,TRUE,EGE AVE & BERGEN AVE;  ,JERSEY CITY,40.71295929,-74.08164215,2,SX
16-000019,W,1/1/16 0:16,1,1/1/16 0:18,1/1/01 0:00,F12.00,TAMPERING WITH A VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,911,4,W101,TRUE,SUMMIT (SUMMIT AVE) & ASTOR PL;  ,JERSEY CITY,40.71780014,-74.06749725,1,SX
16-000022,W,1/1/16 0:16,1,1/1/16 0:18,1/1/16 0:24,A12.20,ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,W501,TRUE,LEXINGTON AVE & WEST SIDE AVE;  ,JERSEY CITY,40.71955109,-74.08242035,1,SX
16-000031,S,1/1/16 0:21,1,1/1/16 0:23,1/1/16 0:48,C29.00,BURG ALARM RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,4,S501,TRUE,1991 KENNEDY BLVD; 41  ,JERSEY CITY,40.70762253,-74.08787537,1,S5HPNTSC-A
16-000038,W,1/1/16 0:25,1,1/1/16 0:27,1/1/01 0:00,C18.20,BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,W201,TRUE,150 BELMONT AVE; 304  ,JERSEY CITY,40.72132874,-74.07359314,1,S5HPNTSCZA
16-000040,N,1/1/16 0:25,1,1/1/16 0:26,1/1/16 0:26,C31.00,BURG ALARM COMMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,SI,4,N101,TRUE,624 TONNELE AVE;  ,JERSEY CITY,40.75179672,-74.05802155,1,S5HPNTSCZA
16-000041,W,1/1/16 0:25,1,1/1/16 0:27,1/1/16 0:36,A12.20,ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE,911,2,W601,TRUE,79 VIRGINIA AVE;  ,JERSEY CITY,40.71283722,-74.0786438,1,S5HPNTSCZA
16-000043,S,1/1/16 0:28,1,1/1/16 0:29,1/1/16 0:45,E11.00,DISORDERLY CONDUCT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,S201,TRUE,149 WILKINSON AVE; (1 FL),JERSEY CITY,40.70681,-74.08138275,1,S5HPNTSCZA
16-000044,E,1/1/16 0:28,1,1/1/16 0:29,1/1/01 0:00,D21.00,HYDRANT PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE,PH,7,E201,TRUE,305 HALLADAY ST;  ,JERSEY CITY,40.71286011,-74.06220245,1,S5HPNTSCZA
